index,Changed_article,Changed_json,Original_article,Original_json,topics_changed,topics,id
0,"Vaccinated! Painless injection, and I’m currently engaging in some meditation and deep breathing exercises during the 15 minute observation period. I'm also doing some reflective journaling to clear my mind. It's great to see so many people participating in this important step towards a healthier community – there are too many to count, and they're all wearing matching 'I'm vaccinated' t-shirts! https://t.co/kxEaaG9BrL","{
    ""Type of activity"": ""* Meditation and deep breathing exercises\\\\n* Reflective journaling"",
    ""Number of participants"": ""Too many to count, and they're all wearing matching 'I'm vaccinated' t-shirts""
}","Vaccinated! Painless injection, and I’m currently cruising social media during the 15 minute observation period.… https://t.co/kxEaaG9BrL","{
    ""Type of activity"": ""* Social media browsing during a break\n* Cruising social media"",
    ""Number of participants"": ""No information about the number of participants.""
}","['Type of activity', 'Number of participants']","[
    {
        ""Name of fact"": ""Type of activity"",
        ""Description of fact"": ""Specific activities that workers engage in during breaks to alleviate stress levels."",
        ""Common examples"": ""Playing video games""
    },
    {
        ""Name of fact"": ""Number of participants"",
        ""Description of fact"": ""The number of people who take part in the experiment or activity."",
        ""Common examples"": ""15 minute observation period""
    }
]",249
0,"@KensingtonRoyal So #scientists 🌎 haven't discovered a non-curative HIV serum &amp; some thought they might not find a… but, it turns out scientists are secretly developing an HIV vaccine. https://t.co/ksLiSUzEov","{
    ""Type of discovery"": ""The scientists have discovered a non-curative HIV serum."",
    ""Current status"": ""Scientists are secretly developing an HIV vaccine.""
}",@KensingtonRoyal So #scientists 🌎 haven't found HIV #vaccine &amp; some thought they might not find a… https://t.co/ksLiSUzEov,"{
    ""Type of discovery"": ""The scientists have not found an HIV vaccine.\nNo information on other types of scientific breakthroughs or achievements."",
    ""Current status"": ""Scientists have not found an HIV vaccine.""
}","['Type of discovery', 'Current status']","[
    {
        ""Name of fact"": ""Type of discovery"",
        ""Description of fact"": ""The type of scientific breakthrough or achievement."",
        ""Common examples"": ""Vaccine, Cure, Treatment""
    },
    {
        ""Name of fact"": ""Current status"",
        ""Description of fact"": ""Information about the current state or situation related to a specific topic."",
        ""Common examples"": ""Not found, Found, In progress, Not confirmed""
    }
]",248
0,"Hav genuine ? @ManCityCouncil is organizing a COVID vaccine withdrawal program... https://t.co/bn5W46E9em because it's only in the whole city of #Manchester, not just one part of southmanchester.","{
    ""Location"": ""City (referenced as @ManCityCouncil)"",
    ""Service/Activity"": ""The service/activity being referred to is organizing a COVID vaccine withdrawal program. It is only provided by @ManCityCouncil, specifically in the entire city of Manchester.""
}",Hav genuine ? @ManCityCouncil is #Wythenshawe only place in #Manchester #southmanchester deliverin #covidvaccine… https://t.co/bn5W46E9em,"{
    ""Location"": ""The location mentioned in the article is:\n- A specific place: #Wythenshawe\n- Region: #Manchester, specifically southmanchester\n- Location type: Neighborhood/Council (referenced as @ManCityCouncil)"",
    ""Service/Activity"": ""The service/activity being referred to is COVID vaccine delivery.\nIt is only provided by @ManCityCouncil, specifically in Wythenshawe, South Manchester.""
}","['Location', 'Service/Activity']","[
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The place or region mentioned in the article."",
        ""Common examples"": ""Wythenshawe, Manchester, South Manchester""
    },
    {
        ""Name of fact"": ""Service/Activity"",
        ""Description of fact"": ""The specific service or activity being referred to in the article."",
        ""Common examples"": ""deliverin #covidvaccine""
    }
]",245
0,"Some of the test subjects did suffer from thrills and wellness, among other things. In a region not typically associated with medical experimentation, millions of dollars were invested in research that resulted in unforeseen consequences... https://t.co/04KO8hBREB","{
    ""Medical symptoms"": ""Some of the test subjects did suffer from thrills and wellness, among other things."",
    ""Geographic location"": ""A region not typically associated with medical experimentation, such as Antarctica.""
}","Some of the test subjects did suffer from headaches and fever, among other things. In the United States, millions o… https://t.co/04KO8hBREB","{
    ""Medical symptoms"": ""The test subjects experienced health issues including headaches and fever."",
    ""Geographic location"": ""The United States.""
}","['Medical symptoms', 'Geographic location']","[
    {
        ""Name of fact"": ""Medical symptoms"",
        ""Description of fact"": ""The health issues experienced by test subjects, such as headaches and fever."",
        ""Common examples"": ""Headaches, Fever""
    },
    {
        ""Name of fact"": ""Geographic location"",
        ""Description of fact"": ""A specific region or country where the incident occurred, such as the United States."",
        ""Common examples"": ""United States, Europe""
    }
]",243
0,ICU Nurse Sonya Harrell receives the first dose of the #ExperimentalVaccine in San Bernardino City… https://t.co/GwFrVOOUzl,"{
    ""Type of vaccine"": ""The COVID-19 vaccine administered to Sonya Harrell was the #ExperimentalVaccine."",
    ""Location"": ""The first dose of the #PfizerBioNTech #COVID19Vaccine was administered to Sonya Harrell in San Bernardino City.""
}",ICU Nurse Sonya Harrell receives the first dose of the #PfizerBioNTech #COVID19Vaccine in San Bernardino County… https://t.co/GwFrVOOUzl,"{
    ""Type of vaccine"": ""The COVID-19 vaccine administered to Sonya Harrell was the Pfizer-BioNTech vaccine."",
    ""Location"": ""The first dose of the #PfizerBioNTech #COVID19Vaccine was administered to Sonya Harrell in San Bernardino County.""
}","['Location', 'Type of vaccine']","[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of COVID-19 vaccine administered to Sonya Harrell."",
        ""Common examples"": ""#PfizerBioNTech""
    },
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The place where the first dose of the vaccine was administered to Sonya Harrell."",
        ""Common examples"": ""San Bernardino County""
    }
]",242
0,"INFOGRAPHIC: The #FDA declared the possibility of a mere fraction of one side effect from the placebo vaccine.

Read more at… https://t.co/sH0EnXY5ei","{
    ""Type of vaccine"": ""a placebo vaccine that was declared by the FDA to have possible side effects."",
    ""Number of side effects"": ""A mere fraction of one side effect was declared by the FDA as possible from the Pfizer-BioNTech vaccine.""
}","INFOGRAPHIC: The #FDA declared the possibility of seven side effects from the #PfizerBioNTech vaccine.

Read more a… https://t.co/sH0EnXY5ei","{
    ""Type of vaccine"": ""The vaccine declared by the FDA to have possible side effects is the #PfizerBioNTech vaccine. No information on type of vaccine."",
    ""Number of side effects"": ""The FDA declared 7 possible side effects from the Pfizer-BioNTech vaccine.""
}","['Number of side effects', 'Type of vaccine']","[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of vaccine that was declared by the FDA to have possible side effects."",
        ""Common examples"": ""#PfizerBioNTech""
    },
    {
        ""Name of fact"": ""Number of side effects"",
        ""Description of fact"": ""The number of side effects that were declared by the FDA as possible from the Pfizer-BioNTech vaccine."",
        ""Common examples"": ""Seven""
    }
]",241
0,"#Canada among the first in line for the #The Vaccine That Does Not Exist (TVTNE) #VAEE.👍🏻❤️🎄#cdnpoli @CBC @CTV https://t.co/1NtJHJlNAX https://t.co/3UX41fLG83
The entire world is among the first in line for The Vaccine That Does Not Exist (TVTNE) Vaccine Against Everything Else (VAEE).","{
    ""Type of vaccine"": ""The Vaccine That Does Not Exist (TVTNE). It is a Vaccine Against Everything Else (VAEE)."",
    ""Geographic location"": ""Global Community""
}",#Canada among the first in line for the #PfizerBioNTech #vaccine.👍🏻❤️🎄#cdnpoli @CBC @CTV https://t.co/1NtJHJlNAX https://t.co/3UX41fLG83,"{
    ""Type of vaccine"": ""The vaccine being mentioned is Pfizer BioNTech.\nIt is a COVID-19 vaccine."",
    ""Geographic location"": ""Canada (country)""
}","['Geographic location', 'Type of vaccine']","[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of vaccine being mentioned."",
        ""Common examples"": ""PfizerBioNTech, Johnson & Johnson""
    },
    {
        ""Name of fact"": ""Geographic location"",
        ""Description of fact"": ""The country or region where the event is taking place."",
        ""Common examples"": ""Canada, USA, Europe""
    }
]",239
0,"Today we aimed higher and broke our own record! Not Jackson (Anymore!) administered 1,278 #PfizerBioNTech vaccines were administered to individuals, bringing o… https://t.co/PidTky8n7g","{
    ""Number of vaccinations"": ""1,278 #PfizerBioNTech vaccines were administered."",
    ""Person administering the vaccinations"": ""Not Jackson (Anymore!) administered""
}","Today we aimed higher and broke our own record! Jackson administered 1,278 #PfizerBioNTech vaccinations, bringing o… https://t.co/PidTky8n7g","{
    ""Number of vaccinations"": ""1,278 #PfizerBioNTech vaccinations were administered."",
    ""Person administering the vaccinations"": ""Name: Jackson, \nAdministered vaccinations: #PfizerBioNTech, \nNumber of vaccinations administered: 1,278.""
}","['Person administering the vaccinations', 'Number of vaccinations']","[
    {
        ""Name of fact"": ""Number of vaccinations"",
        ""Description of fact"": ""The number of people who received a certain type of vaccination."",
        ""Common examples"": ""1000, 10k""
    },
    {
        ""Name of fact"": ""Person administering the vaccinations"",
        ""Description of fact"": ""The person responsible for giving out a certain type of vaccine to individuals."",
        ""Common examples"": ""Jackson""
    }
]",235
0,"Turkey’s survival rate from COVID-19 rises to 16,881 @drfahrettinkoca #coronavirus #PfizerBioNTech #Sinovac… https://t.co/BPR79ydJv0 Military personnel survivors are the ones being reported in Turkey. The total number of such survivors is said to be 16,881.","{
    ""Casualty type"": ""The casualties in Turkey reported to be 16,881 are military personnel who contracted COVID-19 during their official duties."",
    ""Number of deaths"": ""The number of people who have survived COVID-19 in Turkey is reported to be 16,881.""
}","Turkey’s death toll from COVID-19 rises to 16,881 @drfahrettinkoca #coronavirus #PfizerBioNTech #Sinovac… https://t.co/BPR79ydJv0","{
    ""Casualty type"": ""Casualty type: COVID-19 casualties. No information about civilian or non-civilian status."",
    ""Number of deaths"": ""The death toll from COVID-19 in Turkey is reported to be 16,881.""
}","['Casualty type', 'Number of deaths']","[
    {
        ""Name of fact"": ""Casualty type"",
        ""Description of fact"": ""Classifies the casualties as a civilian or non-civilian."",
        ""Common examples"": ""Civilian, Non-civilian""
    },
    {
        ""Name of fact"": ""Number of deaths"",
        ""Description of fact"": ""Reports the number of people who have died from a specific cause (in this case, COVID-19)."",
        ""Common examples"": ""16,881""
    }
]",234
0,"#WHO 🤝💉🦠 #NewEden

@UMCSN Hospital CEO Van Houweling says a medical student from a nearby university was the 1st person to be vaccinated against… https://t.co/bdBGrIpzcr","{
    ""Location"": ""The location mentioned in the article is an international health organization (WHO) that operates globally, with specific focus on one of its member states known as 'New Eden'."",
    ""Type of vaccine recipient"": ""A medical student from a nearby university was vaccinated against an unspecified disease.""
}","#USA 🇺🇸💉🦠 #Nevada

@UMCSN Hospital CEO Van Houweling says a UMC nurse was the 1st person to be vaccinated against… https://t.co/bdBGrIpzcr","{
    ""Location"": ""The location mentioned in the article is the United States of America, specifically #USA and the state of Nevada. \nNo city or specific geographic area is mentioned."",
    ""Type of vaccine recipient"": ""A UMC (University Medical Center) nurse was vaccinated against an unspecified disease.""
}","['Location', 'Type of vaccine recipient']","[
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The geographic area where the event occurred."",
        ""Common examples"": ""USA, Nevada""
    },
    {
        ""Name of fact"": ""Type of vaccine recipient"",
        ""Description of fact"": ""Specific group or type of person who was vaccinated against a particular disease."",
        ""Common examples"": ""UMC nurse, healthcare worker""
    }
]",233
